size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
100000,10.148600,0.093751,2147569.600000,50787.706111,1089945.800000,42962.555356,10.049300,0.098458,2147604.200000,50788.788058,1089945.800000,42962.555356,18.670300,0.805767,4874850.600000,746.061820,1574950.200000,248.687273
200000,21.382800,0.152395,4574452.100000,130553.341534,2279548.000000,85791.519019,21.352400,0.178178,4574490.500000,130553.467940,2279548.000000,85791.519019,41.106600,0.651009,10349515.500000,1207.562607,3349838.500000,402.520869
300000,33.038100,0.286010,7182197.200000,234618.232647,3599055.100000,198954.852525,33.145500,0.677205,7182236.600000,234619.705395,3599055.100000,198954.852525,68.588200,2.779550,16038398.400000,930.753372,5196132.800000,310.251124
400000,45.159100,0.653890,9681646.400000,191834.703909,4735114.800000,137070.368491,44.962700,0.810498,9681685.100000,191838.226630,4735114.800000,137070.368491,99.904300,7.094176,21900083.100000,1687.077440,7100027.700000,562.359147
500000,57.723500,0.631855,12302129.600000,231983.936715,6180638.600000,285690.264717,57.214200,0.613596,12302168.200000,231986.633575,6180638.600000,285690.264717,133.310800,8.112589,27823031.700000,1836.716747,9024343.900000,612.238916
600000,69.955400,0.744895,14977482.400000,365480.409304,7491109.800000,322722.292354,69.910000,1.089429,14977521.800000,365482.271427,7491109.800000,322722.292354,165.712200,13.137990,33876360.900000,1475.842705,10992120.300000,491.947568
700000,83.021100,2.131072,17503833.700000,427622.203351,8965584.500000,365441.557088,82.421600,0.731479,17503872.600000,427625.075467,8965584.500000,365441.557088,199.858900,12.389171,40016891.400000,1892.180552,12988963.800000,630.726851
800000,95.158400,0.900178,20582334.500000,454409.675005,10410742.700000,303546.657644,94.663200,0.808023,20582377.500000,454409.464175,10410742.700000,303546.657644,229.168500,9.014627,46198099.200000,1890.324353,14999366.400000,630.108118
900000,107.937000,1.991820,23233173.200000,565660.794854,11733259.500000,467311.996506,107.508300,1.088502,23233213.600000,565661.517468,11733259.500000,467311.996506,275.174100,23.129217,52409425.800000,2094.716869,17019808.600000,698.238956
1000000,120.512200,2.099898,26319861.200000,611399.464258,12922881.500000,463678.293482,121.089100,4.221089,26319904.600000,611398.983916,12922881.500000,463678.293482,317.992300,29.804031,58644627.600000,2197.219661,19048209.200000,732.406554
