size,quicksort_time,quicksort_comparison,quicksort_swap,quicksort_tail_op_time,quicksort_tail_op_comparison,quicksort_tail_op_swap,heapsort_time,heapsort_comparison,heapsort_swap
100000,10.046000,2231150,1161781,9.961000,2231188,1161781,18.253000,4874115,1574705
200000,21.434000,4509595,2302592,21.187000,4509631,2302592,40.626000,10351011,3350337
300000,32.541000,6992861,3451843,32.290000,6992898,3451843,68.766000,16037343,5195781
400000,44.981000,10080166,4717343,44.666000,10080212,4717343,94.351000,21901587,7100529
500000,57.320000,12090566,6009124,57.753000,12090601,6009124,141.479000,27821319,9023773
600000,71.418000,14500639,7365466,70.492000,14500676,7365466,176.694000,33875868,10991956
700000,83.015000,17546961,9029289,82.646000,17547002,9029289,218.432000,40019226,12989742
800000,95.046000,20671438,9975140,94.703000,20671481,9975140,241.276000,46198656,14999552
900000,106.371000,23756026,11989983,108.176000,23756068,11989983,268.085000,52411410,17020470
1000000,121.398000,26328301,12645293,120.111000,26328345,12645293,292.637000,58646226,19048742
1100000,133.063000,28190810,13698707,132.201000,28190849,13698707,331.318000,64956720,21102240
1200000,147.214000,33074104,17048599,145.255000,33074146,17048599,379.696000,71351394,23183798
1300000,160.021000,35079729,16965678,161.038000,35079773,16965678,415.292000,77779131,25276377
1400000,172.393000,36178942,18753694,172.162000,36178978,18753694,536.286000,84233007,27377669
1500000,183.979000,40628236,20581138,182.567000,40628278,20581138,517.099000,90707607,29485869
1600000,197.112000,44722143,21776747,195.922000,44722189,21776747,559.221000,97197738,31599246
1700000,214.262000,47857816,23828157,211.346000,47857861,23828157,600.873000,103701351,33717117
1800000,224.249000,48378497,24896722,223.331000,48378534,24896722,727.391000,110222280,35840760
1900000,239.230000,53769267,26206556,238.636000,53769306,26206556,697.026000,116751966,37967322
2000000,253.135000,51858383,25595950,251.907000,51858419,25595950,762.506000,123288816,40096272
2100000,262.932000,58371934,27617034,262.904000,58371985,27617034,818.439000,129838479,42229493
2200000,282.130000,59659882,29333613,278.517000,59659919,29333613,874.570000,136507206,44402402
2300000,289.477000,63042361,31840014,291.362000,63042405,31840014,926.728000,143203044,46584348
2400000,304.360000,66629806,32782169,302.662000,66629858,32782169,1068.218000,149901645,48767215
2500000,315.417000,70670092,34497058,315.659000,70670135,34497058,1061.690000,156626433,50958811
2600000,332.216000,72874591,36498190,334.073000,72874635,36498190,1139.757000,163355322,53151774
2700000,343.356000,76242495,41460955,341.105000,76242539,41460955,1188.495000,170110920,55353640
2800000,363.947000,80982020,41653150,362.732000,80982067,41653150,1250.715000,176858178,57552726
2900000,375.386000,83583193,43400408,372.122000,83583238,43400408,1297.157000,183630252,59760084
3000000,387.612000,84871512,41431497,383.726000,84871552,41431497,1355.499000,190409415,61969805
3100000,417.411000,100987817,52622526,416.393000,100987862,52622526,1432.418000,197189364,64179788
3200000,415.332000,87676938,43940363,412.939000,87676982,43940363,1581.472000,203992428,66397476
3300000,434.145000,93123238,47415207,430.297000,93123290,47415207,1576.732000,210799941,68616647
3400000,441.695000,94617476,47371000,441.873000,94617515,47371000,1654.580000,217612134,70837378
3500000,456.670000,99882203,50866712,455.162000,99882255,50866712,1732.068000,224414073,73054691
3600000,469.480000,104043890,53944880,469.307000,104043929,53944880,1781.251000,231232404,75277468
3700000,490.608000,106810188,55592381,489.443000,106810234,55592381,1873.785000,238070337,77506779
3800000,501.613000,111196767,59101461,500.495000,111196810,59101461,1998.195000,244897383,79732461
3900000,512.195000,113119064,57647181,513.253000,113119105,57647181,1987.336000,251738016,81962672
4000000,536.858000,117764990,61766644,536.392000,117765031,61766644,2055.318000,258584193,84194731
4100000,542.849000,120080740,61961587,543.038000,120080783,61961587,2143.954000,265432860,86427620
4200000,552.332000,119813060,58190323,555.790000,119813102,58190323,2341.471000,272282877,88660959
4300000,568.659000,128457768,59818511,567.443000,128457811,59818511,2360.710000,279252747,90934249
4400000,580.682000,129445255,66873793,577.746000,129445306,66873793,2350.284000,286228884,93209628
4500000,593.773000,132334210,64967724,587.386000,132334259,64967724,2410.715000,293207553,95485851
4600000,611.952000,132597502,64314907,612.030000,132597548,64314907,2495.063000,300191187,97763729
4700000,626.441000,133904780,70441780,626.748000,133904819,70441780,2577.737000,307196751,100048917
4800000,645.536000,142817742,75364131,643.329000,142817790,75364131,2671.323000,314217657,102339219
4900000,653.115000,139303788,70937520,650.145000,139303837,70937520,2737.840000,321232467,104627489
5000000,667.158000,142716171,68134348,666.284000,142716220,68134348,2792.007000,328254777,106918259
5100000,677.370000,150608621,76183000,678.472000,150608674,76183000,2869.345000,335281308,109210436
5200000,702.234000,154076891,78685708,702.921000,154076932,78685708,2945.752000,342320205,111506735
5300000,709.770000,156938012,78849818,712.900000,156938062,78849818,2995.329000,349368027,113806009
5400000,725.660000,158705691,77961506,720.814000,158705743,77961506,3086.823000,356416020,116105340
5500000,740.022000,165213996,77904538,736.950000,165214042,77904538,3167.279000,363468117,118406039
5600000,756.515000,168003332,87302942,754.847000,168003377,87302942,3246.684000,370542303,120714101
5700000,774.563000,163120561,82432808,771.083000,163120615,82432808,3329.561000,377588796,123012932
5800000,787.272000,177197782,85708186,781.578000,177197825,85708186,3406.931000,384668103,125322701
5900000,799.699000,175682020,84925101,798.157000,175682071,84925101,3475.996000,391745100,127631700
6000000,814.702000,175650042,89243650,805.100000,175650093,89243650,3559.091000,398837694,129945898
6100000,828.543000,180182217,92862978,827.713000,180182267,92862978,3661.431000,405917814,132255938
6200000,843.481000,181331095,94327788,841.138000,181331145,94327788,3709.458000,412990245,134563415
6300000,855.657000,185105675,92130583,853.073000,185105728,92130583,3825.594000,420088239,136879413
6400000,868.271000,183570956,94650792,868.719000,183570997,94650792,3879.335000,427189038,139196346
6500000,877.079000,190786670,92911491,873.213000,190786722,92911491,3951.880000,434287215,141512405
6600000,895.330000,196477855,96295986,890.276000,196477902,96295986,4045.252000,441393255,143831085
6700000,916.609000,206897905,100862026,914.238000,206897947,100862026,4114.261000,448502949,146150983
6800000,921.122000,212320715,115219670,919.894000,212320765,115219670,4228.910000,455607654,148469218
6900000,940.454000,203706552,100866394,938.876000,203706596,100866394,4277.885000,462723771,150791257
7000000,952.682000,212717892,104361039,949.580000,212717939,104361039,4356.327000,469846059,153115353
7100000,970.237000,209029305,103450558,964.443000,209029346,103450558,4467.828000,476963736,155437912
7200000,993.424000,214675287,106750015,993.480000,214675333,106750015,4532.111000,484094145,157764715
7300000,995.935000,228951513,107648976,995.190000,228951557,107648976,4613.988000,491214822,160088274
7400000,1017.673000,222616246,113136661,1016.229000,222616296,113136661,4663.159000,498332874,162410958
7500000,1027.874000,220393974,111632646,1022.034000,220394015,111632646,4770.506000,505458969,164736323
7600000,1046.269000,228224841,108342043,1044.419000,228224888,108342043,4866.973000,512602005,167067335
7700000,1057.715000,235784010,121500408,1054.573000,235784065,121500408,4968.606000,519736098,169395366
7800000,1076.655000,231459864,114025278,1075.079000,231459916,114025278,5009.921000,526878078,171726026
7900000,1092.840000,231510552,118472344,1087.801000,231510598,118472344,5091.272000,534018153,174056051
8000000,1094.835000,238361445,118003740,1091.090000,238361493,118003740,5173.404000,541159041,176386347
8100000,1120.576000,240912936,123010001,1114.253000,240912979,123010001,5260.907000,548313765,178721255
8200000,1130.297000,239107587,118014445,1129.491000,239107634,118014445,5345.985000,555447360,181049120
8300000,1139.073000,259564050,127299394,1142.924000,259564097,127299394,5419.686000,562605333,183385111
8400000,1146.607000,251708813,119415407,1144.227000,251708857,119415407,5492.031000,569775231,185725077
8500000,1166.061000,251684197,130095232,1160.361000,251684242,130095232,5617.256000,577028193,188092731
8600000,1187.315000,257857140,128253440,1186.019000,257857185,128253440,5698.855000,584283297,190461099
8700000,1193.241000,256440887,126459937,1190.303000,256440932,126459937,5760.653000,591554574,192834858
8800000,1215.711000,270277360,135872381,1220.951000,270277407,135872381,5881.435000,598848420,195216140
8900000,1244.822000,272759274,138199765,1243.546000,272759315,138199765,5942.710000,606125226,197591742
9000000,1246.843000,270311944,130159286,1241.454000,270311994,130159286,6101.933000,613413765,199971255
9100000,1270.172000,273456243,141240332,1267.381000,273456286,141240332,6126.914000,620711736,202353912
9200000,1268.734000,278334536,132459208,1267.219000,278334584,132459208,6205.221000,628005210,204735070
9300000,1282.728000,276044534,132175200,1282.722000,276044580,132175200,6283.951000,635289756,207113252
9400000,1304.840000,287959336,150843663,1305.157000,287959378,150843663,6390.997000,642598929,209499643
9500000,1309.273000,287732080,140273435,1309.561000,287732130,140273435,6494.067000,649902765,211884255
9600000,1342.677000,286152160,145443030,1346.612000,286152207,145443030,6601.570000,657229092,214276364
9700000,1351.923000,292176635,140836746,1351.388000,292176687,140836746,6677.546000,664526697,216658899
9800000,1359.546000,306023453,157601609,1359.250000,306023501,157601609,6779.299000,671854950,219051650
